PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
lLDS0,8/6p1/2p2k1p/2N2p2/pP1n4/r5P1/1R4PP/3R3K w - - 0 47,d1d4 a3a1 b2b1 a1b1 d4d1 b1d1,1087,130,69,20,backRankMate endgame long mate mateIn3,https://lichess.org/GO6uFS4i#93,
jFmMT,6k1/4Rp1p/1r1p1Qp1/8/8/7P/5PPK/1q6 b - - 3 29,b1f5 e7e8,1091,78,96,234,endgame master mate mateIn1 oneMove,https://lichess.org/TWz2MpAI/black#58,
ZS0A3,8/5p2/4pk2/1P1pn3/8/8/4RPK1/8 w - - 1 38,e2e5 f6e5 b5b6 e5d6 b6b7 d6c7 b7b8q c7b8,1091,76,82,111,crushing endgame hangingPiece veryLong,https://lichess.org/qyYP3CTD#75,
vSYLg,3q3r/p2r1ppp/1p2pk2/8/6QP/5PP1/PP3RK1/3R4 b - - 0 29,h7h5 g4g5,1093,78,89,800,endgame master mate mateIn1 oneMove,https://lichess.org/KOROkG9r/black#58,
DQpEt,6k1/p3R2p/2p5/4Pp2/2P4K/7P/P2r2r1/1R6 b - - 1 29,f5f4 b1b8 d2d8 b8d8,1093,76,96,4965,endgame mate mateIn2 rookEndgame short,https://lichess.org/s7ncdLjW/black#58,
jyErh,4r1k1/1p3ppp/8/2pp4/N1PQ4/1P1P2qn/P2B2B1/R4K2 w - - 0 29,d4d5 g3f2,1094,94,96,196,mate mateIn1 middlegame oneMove,https://lichess.org/bdsnk8wx#57,
NiN7j,4r1k1/p4pp1/3R3p/8/2P2P2/1P5q/P1Q2Rr1/6K1 w - - 0 25,f2g2 e8e1 g1f2 h3e3,1095,76,91,1266,endgame mate mateIn2 short,https://lichess.org/wg0OK7BY#49,
Yd0SA,6k1/1pr1b1pp/1q1rpp2/1p6/p2P1N2/P3P2P/1Q3PP1/RR4K1 w - - 4 29,b2b5 c7c1 b1c1 b6b5,1096,79,90,2832,advantage deflection middlegame short,https://lichess.org/rReidxcH#57,
P7NUF,5r2/R3Np2/1p5k/6R1/8/6P1/5nPK/1r6 w - - 2 37,g5f5 b1h1,1097,80,90,65,endgame master mate mateIn1 oneMove,https://lichess.org/LgxZ5JXK#73,
bcTdf,1r3q1r/2R4p/3p1pkn/Q2PpBp1/2n1P1P1/7R/3B1P1P/6K1 b - - 2 28,h6f5 e4f5,1098,86,91,1182,mate mateIn1 middlegame oneMove,https://lichess.org/MhhYFERO/black#56,
54omI,5r1k/5B2/p2p2Q1/1p4pp/3P2q1/2P5/PP4N1/6K1 b - - 0 31,g4f3 g6h6,1099,76,83,275,endgame mate mateIn1 oneMove,https://lichess.org/vYZ8i06e/black#62,
I9fmV,8/6k1/R4p2/3p1p2/3PpPp1/3nP1P1/2rNK2P/8 w - - 1 45,e2d1 c2c1 d1e2 c1e1,1099,76,100,208,endgame hookMate mate mateIn2 short,https://lichess.org/lBQpraAe#89,
B6SeL,2k5/pp1n3p/2p2n2/3p4/3P1Q2/3P2KP/P3q3/2RN4 w - - 5 29,d1f2 f6h5 g3h2 h5f4,1099,214,71,6,crushing endgame fork master pin short,https://lichess.org/Zihtsdyy#57,
UKwVi,5r1k/p6p/3Q4/2p1p2q/8/4RP1r/PPP1K1R1/8 b - - 0 41,e5e4 d6f8,1099,81,94,135,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/kKOGIOPd/black#82,
Khs8y,r2q1r1k/1ppb2pQ/p2p1n2/5P2/2B1P3/2N5/PPPR4/2K4R b - - 0 20,f6h7 h1h7 h8h7 d2h2 d8h4 h2h4,1100,82,91,1112,attraction kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/s869fKi5/black#40,
62VhG,1rbr2k1/1pN2pbp/p2ppnp1/2N5/8/2PR2P1/PP2BP1P/3R2K1 b - - 1 19,d8d7 c5d7 c8d7 d3d6,1101,79,78,344,advantage capturingDefender middlegame short,https://lichess.org/Sd0xAAlV/black#38,Sicilian_Defense Sicilian_Defense_Accelerated_Dragon
